Address,Location Path Suffix,Data Contract,Virtual Path,Tag Name
DB1.I0,,_washing_v4,,mode
DB1.I2,,_washing_v4,,state
DB1.X12.0,,_washing_v4,,fault_active
DB1.X12.1,,_washing_v4,,warning_active
DB1.I24,,_washing_v4,,fault_code
DB1.DI16,,_washing_v4,,good_count
DB1.DI20,,_washing_v4,,scrap_count
DB1.DI28,,_washing_v4,,part_count
DB1.R4,,_washing_v4,bath,temp_c
DB1.R36,,_washing_v4,bath,conductivity_us_cm
DB1.R40,,_washing_v4,bath,detergent_level_pct
DB1.DI8,,_washing_v4,pump,speed_rpm
DB1.R32,,_washing_v4,pump,pressure_bar
DB1.R44,,_washing_v4,pump,flow_rate_l_min
DB1.DI48,,_washing_v4,basket,number
DB1.I52,,_washing_v4,basket,phase_remaining_s
